RSZ 700
HSH 400
OIE 600
YPC 900
IDZ 400
AFP 200
RMO 700
EOZ 300
BPM 200
NYW 600
JYQ 500
LEW 500
JEL 500
WDG 900
PUC 700
KKS 500
GHY 400
HZX 400
YZW 900
CCK 200
SMO 700
UWJ 800
YCS 900
TAF 800
UZC 800
AIC 200
VOR 800
VWU 800
LUR 500
SFJ 700
AGU 200
HMI 400
ZXG 900
DGG 300
ZII 900
AQV 200
LXD 500
LRI 500
LJR 500
MLO 600
YGR 900
CVM 200
RDH 700
RWN 700
NLD 600
GCG 400
AMG 200
DBH 300
UHQ 800
PUS 700
LMW 500
NOA 600
HYD 400
MLD 600
JYD 500
ORE 600
JLR 500
BLV 200
FCM 300
VVR 800
ETU 300
EAT 300
QGA 700
FBI 300
SSP 700
BDA 200
WSI 900
collision array
61  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
53  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
154  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
115  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
117  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
0 collisions occurred #495
53 collisions occurred #1
61 collisions occurred #1
115 collisions occurred #1
117 collisions occurred #1
154 collisions occurred #1
Max number of collisions is: 154
Total collisions: 5
average search: 100
